,x,y,z,muscle1,muscle2,muscle3
222,392.0,389.0,462.0,453.0,447.0,442.0
223,392.0,389.0,462.0,461.0,459.0,458.0
224,392.0,389.0,463.0,465.0,465.0,462.0
225,392.0,389.0,462.0,458.0,453.0,448.0
226,392.0,389.0,463.0,452.0,443.0,439.0
227,392.0,389.0,463.0,457.0,453.0,451.0
228,392.0,389.0,463.0,465.0,465.0,463.0
229,392.0,389.0,463.0,462.0,460.0,455.0
230,392.0,389.0,463.0,454.0,448.0,441.0
231,392.0,389.0,463.0,453.0,447.0,443.0
232,392.0,389.0,462.0,462.0,460.0,459.0
233,392.0,389.0,463.0,465.0,464.0,461.0
234,392.0,389.0,462.0,457.0,452.0,447.0
235,392.0,388.0,462.0,452.0,444.0,439.0
236,392.0,389.0,463.0,458.0,454.0,452.0
237,392.0,389.0,463.0,464.0,465.0,463.0
238,392.0,389.0,462.0,462.0,459.0,454.0
239,392.0,388.0,464.0,454.0,446.0,441.0
240,392.0,388.0,462.0,454.0,448.0,444.0
241,392.0,389.0,463.0,463.0,463.0,461.0
242,392.0,389.0,463.0,465.0,464.0,461.0
243,392.0,389.0,463.0,457.0,451.0,445.0
244,392.0,389.0,462.0,452.0,445.0,440.0
245,392.0,389.0,463.0,459.0,456.0,453.0
246,392.0,389.0,462.0,465.0,466.0,463.0
247,392.0,389.0,463.0,461.0,457.0,452.0
248,392.0,389.0,462.0,453.0,445.0,440.0
249,392.0,389.0,463.0,455.0,449.0,446.0
250,392.0,389.0,462.0,464.0,464.0,461.0
251,392.0,389.0,463.0,464.0,463.0,459.0
252,392.0,389.0,462.0,456.0,450.0,443.0
253,392.0,388.0,462.0,453.0,444.0,442.0
254,392.0,389.0,463.0,460.0,458.0,455.0
255,392.0,389.0,463.0,466.0,465.0,463.0
256,392.0,389.0,463.0,460.0,456.0,450.0
257,392.0,389.0,463.0,453.0,445.0,439.0
258,392.0,389.0,463.0,456.0,450.0,447.0
259,392.0,389.0,464.0,464.0,464.0,462.0
260,392.0,389.0,462.0,463.0,462.0,459.0
261,393.0,389.0,463.0,456.0,449.0,443.0
262,392.0,389.0,462.0,453.0,446.0,441.0
263,392.0,389.0,462.0,461.0,458.0,457.0
264,392.0,389.0,462.0,466.0,465.0,463.0
265,392.0,389.0,462.0,459.0,455.0,450.0
266,392.0,389.0,463.0,452.0,444.0,439.0
267,392.0,389.0,462.0,456.0,452.0,449.0
268,392.0,389.0,463.0,464.0,464.0,463.0
269,392.0,389.0,462.0,463.0,461.0,457.0
270,392.0,390.0,463.0,455.0,448.0,441.0
271,392.0,389.0,462.0,454.0,447.0,442.0
272,392.0,389.0,463.0,461.0,460.0,458.0
273,393.0,389.0,462.0,465.0,464.0,462.0
274,392.0,390.0,463.0,458.0,453.0,448.0
275,392.0,389.0,463.0,452.0,443.0,439.0
276,392.0,389.0,463.0,457.0,453.0,450.0
277,392.0,389.0,462.0,464.0,464.0,463.0
278,392.0,389.0,463.0,462.0,460.0,455.0
279,392.0,389.0,463.0,455.0,447.0,441.0
280,392.0,389.0,462.0,454.0,447.0,442.0
281,392.0,389.0,462.0,462.0,460.0,459.0
282,391.0,389.0,462.0,465.0,464.0,461.0
283,392.0,389.0,463.0,457.0,452.0,447.0
284,392.0,389.0,463.0,452.0,445.0,438.0
285,392.0,389.0,462.0,458.0,454.0,452.0
286,392.0,389.0,462.0,465.0,466.0,464.0
287,392.0,389.0,463.0,461.0,459.0,454.0
288,392.0,389.0,462.0,454.0,446.0,440.0
289,392.0,389.0,463.0,454.0,448.0,444.0
290,392.0,389.0,462.0,463.0,462.0,460.0
291,392.0,389.0,463.0,465.0,464.0,460.0
292,392.0,389.0,462.0,457.0,451.0,446.0
293,393.0,389.0,463.0,452.0,444.0,440.0
294,392.0,389.0,463.0,460.0,456.0,453.0
295,392.0,389.0,463.0,466.0,465.0,463.0
296,392.0,389.0,463.0,462.0,457.0,452.0
297,392.0,389.0,463.0,454.0,445.0,439.0
298,392.0,389.0,463.0,455.0,449.0,446.0
299,392.0,389.0,462.0,463.0,464.0,462.0
300,392.0,389.0,462.0,464.0,463.0,459.0
301,392.0,389.0,462.0,456.0,451.0,444.0
302,392.0,389.0,462.0,452.0,445.0,440.0
303,393.0,389.0,463.0,459.0,457.0,455.0
